id;cart_name;cart_number;name;last_name;skt_ay;skt_yil
1;interfaces projection Dominika;generate;Quetzal Generic;Tunçeri;Account Soft;RAM
2;Vision-oriented Product;Dollar harness;Market;Çamdalı;Armenian Belçika quantify;orchestrate
3;Assistant Down-sized;PCI;initiatives;Kaya ;Frozen;Avon generation
4;Granite SSL Handmade;hack Graphic deposit;copy state;Tokgöz;dynamic Wooden;firewall Balboa adapter
5;Mountain hack;Hill Cambridgeshire Assistant;port optimal Account;Çapanoğlu;Health Licensed;services
6;Uganda Adaları Manager;global Home communities;Fresh EXE Rubber;Erginsoy;Sausages Plastic;structure Ermenistan
7;Beauty systems;Pants Rustic Adaptive;recontextualize Developer;Duygulu;Industrial Music online;database Central GB
8;distributed transmitting;Health overriding;aggregate National;Özbey;Tasty Berkshire;Awesome Balanced Kids
9;IB generate Metal;San;Quality-focused open-source e-services;Arslanoğlu;Borders;Mission Grove
10;transmitting;microchip;Refined Silver solutions;Erbulak;Borders Granite Rupee;solutions wireless
